2024-12-13 10:50:35,588 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 10:53:04,192 - INFO - Conex�o estabelecida com ('127.0.0.1', 62994)
2024-12-13 10:53:04,192 - INFO - Clientes ativos: 1
2024-12-13 10:53:08,357 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:54:34,449 - INFO - Mensagem enviada para ('127.0.0.1', 62994): andrei
2024-12-13 10:54:57,239 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:56:20,682 - INFO - Mensagem enviada para ('127.0.0.1', 62994): joia
2024-12-13 10:58:16,559 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 11:06:27,193 - INFO - Monitoramento: CPU 4.1% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:06:32,201 - INFO - Monitoramento: CPU 4.0% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:06:37,208 - INFO - Monitoramento: CPU 3.7% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:06:42,216 - INFO - Monitoramento: CPU 3.9% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:06:47,219 - INFO - Monitoramento: CPU 3.3% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:06:52,227 - INFO - Monitoramento: CPU 4.1% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:06:57,234 - INFO - Monitoramento: CPU 3.7% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:07:02,239 - INFO - Monitoramento: CPU 14.0% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:07:07,245 - INFO - Monitoramento: CPU 15.8% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:07:12,253 - INFO - Monitoramento: CPU 6.8% | Memória 76.4% | Clientes ativos 2
2024-12-13 11:07:17,264 - INFO - Monitoramento: CPU 14.2% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:07:22,268 - INFO - Monitoramento: CPU 51.2% | Memória 78.0% | Clientes ativos 2
2024-12-13 11:07:27,272 - INFO - Monitoramento: CPU 35.8% | Memória 77.5% | Clientes ativos 2
2024-12-13 11:07:32,282 - INFO - Monitoramento: CPU 25.8% | Memória 77.5% | Clientes ativos 2
2024-12-13 11:07:37,288 - INFO - Monitoramento: CPU 17.6% | Memória 77.8% | Clientes ativos 2
2024-12-13 11:07:42,297 - INFO - Monitoramento: CPU 23.3% | Memória 77.5% | Clientes ativos 2
2024-12-13 11:07:47,303 - INFO - Monitoramento: CPU 61.7% | Memória 77.6% | Clientes ativos 2
2024-12-13 11:07:52,311 - INFO - Monitoramento: CPU 18.7% | Memória 77.4% | Clientes ativos 2
2024-12-13 11:07:57,317 - INFO - Monitoramento: CPU 7.9% | Memória 77.3% | Clientes ativos 2
2024-12-13 11:08:02,321 - INFO - Monitoramento: CPU 22.7% | Memória 77.4% | Clientes ativos 2
2024-12-13 11:08:07,325 - INFO - Monitoramento: CPU 28.5% | Memória 77.4% | Clientes ativos 2
2024-12-13 11:08:12,334 - INFO - Monitoramento: CPU 64.1% | Memória 77.6% | Clientes ativos 2
2024-12-13 11:08:17,340 - INFO - Monitoramento: CPU 35.6% | Memória 77.6% | Clientes ativos 2
2024-12-13 11:08:22,344 - INFO - Monitoramento: CPU 29.7% | Memória 77.6% | Clientes ativos 2
2024-12-13 11:08:27,348 - INFO - Monitoramento: CPU 28.2% | Memória 77.6% | Clientes ativos 2
2024-12-13 11:08:32,353 - INFO - Monitoramento: CPU 33.5% | Memória 77.6% | Clientes ativos 2
2024-12-13 11:08:37,357 - INFO - Monitoramento: CPU 35.7% | Memória 76.5% | Clientes ativos 2
2024-12-13 11:08:42,360 - INFO - Monitoramento: CPU 31.4% | Memória 76.1% | Clientes ativos 2
2024-12-13 11:08:47,364 - INFO - Monitoramento: CPU 55.0% | Memória 76.7% | Clientes ativos 2
2024-12-13 11:08:52,368 - INFO - Monitoramento: CPU 57.0% | Memória 77.2% | Clientes ativos 2
2024-12-13 11:08:57,373 - INFO - Monitoramento: CPU 56.3% | Memória 77.4% | Clientes ativos 2
2024-12-13 11:09:02,377 - INFO - Monitoramento: CPU 56.1% | Memória 77.7% | Clientes ativos 2
2024-12-13 11:09:07,381 - INFO - Monitoramento: CPU 56.3% | Memória 78.2% | Clientes ativos 2
2024-12-13 11:09:12,384 - INFO - Monitoramento: CPU 43.3% | Memória 78.3% | Clientes ativos 2
2024-12-13 11:09:17,388 - INFO - Monitoramento: CPU 44.7% | Memória 77.8% | Clientes ativos 2
2024-12-13 11:09:22,392 - INFO - Monitoramento: CPU 51.6% | Memória 77.5% | Clientes ativos 2
2024-12-13 11:09:27,397 - INFO - Monitoramento: CPU 61.6% | Memória 77.4% | Clientes ativos 2
2024-12-13 11:09:32,401 - INFO - Monitoramento: CPU 35.6% | Memória 77.2% | Clientes ativos 2
